per:city_of_birth	Myleene reveals `` Matt Damon , Ben Stiller , Leona Lewis and Angelina Jolie all love her and even Simon Cowell loves her enough to let her run around in <e1> his </e1> white-walled mansion born in <e2> LA. </e2> ''
per:religion	 <e1> He </e1> is associated with the <e2> Society of Islamic Coalition </e2> , or Motalefeh , a party seen as a mix of hardline ideology and the financial interests of powerful religious foundations and bazaaris -- who control a significant chunk of the Iranian economy .
per:title	Chad 's Prime Minister <e1> Pascal Yoadimnadji </e1> holds the title of <e2> Chadian </e2> ambassador said Friday .
per:city_of_death	Born into a working-class family in Bakersfield , <e1> Deaver </e1> grew up there and in the desert town of <e2> Mojave </e2> , Calif. .
per:cities_of_residence	The case concerns the killing of <e1> Michael Sandy </e1>, 29, a gay man who was lured to a meeting place in Sheepshead Bay last October, then driven a short distance and resides near <e2> Plumb Beach </e2> , where he was beaten and chased into traffic on the Belt Parkway .
per:country_of_death	 <e1> Boyle </e1> died in Blackburn , West Lothian , <e2> Scotland </e2> .
per:title	 <e1> Abdul Karim al-Khawinay </e1> holds the position of <e2> Al-Shura </e2> weekly , was abducted on the street by about 7 people who jumped out of a land cruiser with covered car plates and took him away , the Yemeni Journalists Syndicate said , citing eyewitnesses .
per:country_of_death	Madonna was last year granted an 18-month interim order by the high court to take <e1> David </e1> died in <e2> Malawi </e2> , sparking a heated debate about adoption laws in a country where the number of orphans is surging as a result of AIDS .
per:employee_of	After a stint in the Egyptian Ministry of Foreign Affairs , <e1> he </e1> works at <e2> New York University School of Law </e2> in 1974 , and later became an adjunct professor there .
per:title	 <e1> George Sheldon </e1> holds the position of secretary of the <e2> state Department of Children and Families </e2> , remembers when state agencies used carbon paper .
per:title	 <e1> Kurt Waldheim </e1>, the former UN secretary general and president of Austria whose reputation was tarnished by revelations of his Nazi past, held the position of <e2> heart attack </e2> at the age of 88 , his family said .
per:cities_of_residence	 <e1> Yolanda Denise King </e1>, 51, resided in <e2> Santa Monica </e2> , Calif. , according to the Rev. Joseph Lowery , one of the King family 's closest friends .
