Cause-Effect(e1,e2)	The <e1> tsunami </e1> resulted in significant property <e2> damage </e2> but only two fatalities in RS .
Entity-Origin(e1,e2)	Tub drains clog up with hair and the <e1> grease </e1> from <e2> soap </e2> and must be cleaned out occasionally .
Member-Collection(e1,e2)	This is the basic household return , filled in and signed by the <e1> head </e1> of the <e2> household </e2> .
Entity-Destination(e1,e2)	The <e1> pollution </e1> is being spread to <e2> air </e2> rapidly .
Entity-Destination(e1,e2)	A few space <e1> probes </e1> have been placed into <e2> orbit </e2> around other bodies .
Member-Collection(e2,e1)	American warships , which , in addition to opening Japan 's borders with their show of military supremacy , brought along a <e1> troupe </e1> of blackface <e2> minstrels </e2> as entertainment .
Entity-Destination(e1,e2)	The researchers inserted <e1> caffeine </e1> into baked <e2> goods </e2> .
Product-Producer(e2,e1)	Gee 's Bend <e1> men </e1> and women grew cotton , peanuts , okra , corn , peas and <e2> potatoes </e2> .
Component-Whole(e1,e2)	The <e1> roots </e1> of your <e2> teeth </e2> are fixed into a socket in your jawbone .
Message-Topic(e1,e2)	One of the trickiest <e1> questions </e1> to answer in an interview relates to <e2> salary </e2> .
Entity-Destination(e1,e2)	After the source material and substrates were arranged , the small quartz <e1> tube </e1> was placed inside the 50-cm-long horizontal tube <e2> furnace </e2> .
Cause-Effect(e2,e1)	<e1> Injury </e1> of patients of the Bikini accident has been caused by the <e2> radiation </e2> of the fallout in contrast to the atomic bomb injury at Hiroshima and Nagasaki .
Entity-Origin(e1,e2)	The <e1> colours </e1> were similarly derived from the <e2> stylesheet </e2> .
Component-Whole(e2,e1)	An expansion <e1> tank </e1> has a vertically set up <e2> cylinder </e2> with a float therein , which forms a separating element between water and gas in the cylinder .
Other	The wooden <e1> rod </e1> is attached to the <e2> arm </e2> of the chair , which on my chair has an L-shaped opening -LRB- corner -RRB- under the armrest .
Entity-Origin(e1,e2)	For the zillionth time in a Hindi film , a <e1> bride </e1> runs away from the <e2> pheras </e2> on her wedding day .
Component-Whole(e2,e1)	I found a <e1> lover </e1> with a slow <e2> hand </e2> .
Cause-Effect(e2,e1)	Gaza following the widespread <e1> destruction </e1> caused by the Israeli <e2> invasion </e2> .
Instrument-Agency(e2,e1)	The <e1> motor </e1> turns the panel with the help of the mechanical transmission <e2> system </e2> .
Cause-Effect(e2,e1)	Reducing the <e1> harm </e1> caused by the <e2> War </e2> on Drugs is a big task .
Entity-Origin(e1,e2)	The <e1> puppy </e1> was born in a <e2> barn </e2> where Layla made a soft , bed out of hay in an empty horse stall .
Content-Container(e1,e2)	When he arrived at 1 p.m. , the poor <e1> animal </e1> was in a <e2> crate </e2> for five hours .
Member-Collection(e2,e1)	Someone with a sense of humour decided to help a <e1> lodge </e1> of <e2> beavers </e2> in neighbouring Renfrew organize their own campaign .
Instrument-Agency(e1,e2)	I conducted a training seminar on energy efficiency best <e1> practices </e1> for <e2> engineers </e2> at the Pune Municipal Corporation .
Component-Whole(e1,e2)	Earl turned and leaned on the <e1> railing </e1> of the <e2> balcony </e2> .
Product-Producer(e1,e2)	One of the most important ostraca found at Mesad Hashavyahu is a written <e1> appeal </e1> by a field <e2> worker </e2> to the fortress 's governor .
Member-Collection(e2,e1)	Bella Strings is a professional string <e1> ensemble </e1> of passionate <e2> musicians </e2> performing in the greater Orlando area and across Central Florida .
Entity-Origin(e1,e2)	A number of <e1> papers </e1> have emanated from this <e2> laboratory </e2> on the chemistry of dl-pinonic acid -LRB- I , -RRB- and dl-pinolic acid -LRB- II.A -RRB- .
Instrument-Agency(e2,e1)	The <e1> researcher </e1> started the slide show with a blue <e2> slide </e2> showing an overview of all episodes of the task and left the adolescent alone .
Entity-Destination(e1,e2)	The deputy called for backup , and placed the <e1> suspect </e1> in a <e2> patrol car </e2> .
Cause-Effect(e1,e2)	<e1> Constipation </e1> is the most common cause of <e2> abdominal pain </e2> in the pediatric population .
Component-Whole(e1,e2)	A cable or rode is the rope , chain , or combination thereof used to connect the <e1> anchor </e1> to the <e2> vessel </e2> .
Product-Producer(e2,e1)	Caryn James , a film <e1> critic </e1> for The New York Times , has just completed a <e2> novel </e2> .
Other	They have thrown <e1> mankind </e1> into deeper <e2> bondage </e2> than ever .
Cause-Effect(e2,e1)	I used to get terrible <e1> headaches </e1> from sinus and <e2> infections </e2> that resulted in taking antibiotics a few times a year .
Member-Collection(e2,e1)	Sometimes their way led them under the shade of an overhanging bank or through the thin obscurity of a <e1> clump </e1> of leafless <e2> trees </e2> .
Cause-Effect(e2,e1)	On the other hand , the higher the <e1> satisfaction </e1> from the <e2> purchase </e2> , the greater the benefit of word-of-mouth referrals and repeat purchasing .
Component-Whole(e1,e2)	Drawing my bow across the string sometimes results in the <e1> stick </e1> of the <e2> bow </e2> bouncing/vibrating up and down .
Entity-Origin(e1,e2)	The current <e1> band </e1> arrived from the Lafayette <e2> competition </e2> .
Other	It utilized a critical eye and free <e1> inquiry </e1> into the <e2> conditions </e2> of life and issues of morality .
Member-Collection(e2,e1)	An emerging <e1> bratpack </e1> of young female <e2> pornographers </e2> is storming the market and challenging lads ' magazines such as FHM and Esquire . .
Instrument-Agency(e1,e2)	The <e1> pliers </e1> belong to John 's <e2> electrician </e2> .
Other	My <e1> credit card bill </e1> is approaching its <e2> limits </e2> .
Member-Collection(e2,e1)	There are enough gills there to serve the oxygen demands of an entire <e1> shiver </e1> of whale <e2> sharks </e2> .
Product-Producer(e2,e1)	Then after that the <e1> angels </e1> chopped him into millions of <e2> pieces </e2> , but still he glittered and hummed .
Other	I stand here above the twisting gorge the <e1> winds </e1> have carved out of the <e2> sand </e2> .
Instrument-Agency(e1,e2)	The authors take us on an extraordinary journey , from the depths of the ocean to the <e1> net </e1> of a <e2> fisherman </e2> .
Content-Container(e1,e2)	He sent his love a <e1> letter </e1> with <e2> confetti hearts </e2> inside of the letter so they pour out everywhere when his sweetheart opens it .
Cause-Effect(e2,e1)	The reference clock <e1> signal </e1> originates from an internal clock <e2> source </e2> .
Component-Whole(e1,e2)	The top half of the network belongs to the <e1> engine </e1> of the <e2> refrigerator </e2> .
Message-Topic(e1,e2)	A large <e1> diagram </e1> illustrated the <e2> principle </e2> of this apparatus .
Cause-Effect(e2,e1)	I have an additional concern about body exposure to any electromagnetic <e1> radiation </e1> , from <e2> computers </e2> and cell phones held next to the body .
Content-Container(e1,e2)	Also missing was a 38 caliber Smith & Wesson <e1> gun </e1> that was in a <e2> suitcase </e2> in the tractor .
Other	A <e1> gunman </e1> pumped a bullet into his right <e2> leg </e2> and fled his Northwest Side convenience store with several hundred dollars .
Member-Collection(e2,e1)	The street outside the side entrance was decked , however , with three limousines double-parked and a <e1> squad </e1> of motorcycle <e2> policemen </e2> stood at the door .
Cause-Effect(e2,e1)	I have been talking extensively here about the <e1> disruption </e1> that has been caused by the Brazilian Air Traffic Controllers white <e2> strike </e2> .
Other	These include the tapping of the package , the way one holds their cigarette , the oral gratification , and the easy social <e1> camaraderie </e1> of <e2> smokers </e2> on a break .
Component-Whole(e2,e1)	The first parcel he found was a <e1> rouleau </e1> of fifty <e2> dollars </e2> , the coins not having burst the paper enveloping them .
Cause-Effect(e2,e1)	Relena 's head was bowed , though the <e1> heat </e1> was radiating from the young <e2> princess </e2> in waves .
Cause-Effect(e2,e1)	Voltage <e1> surges </e1> or spikes are caused by <e2> lightning </e2> , short circuits , power company equipment problems , and inductive spikes , among many other causes .
Cause-Effect(e2,e1)	We planetary citizens have a unique capacity for <e1> ecstasy </e1> from <e2> repetition </e2> - especially when it comes from drumming .
Other	Murmur of Water , Kuttimuratov 's other piece I photographed for you , shows the Zoroastrian <e1> goddess </e1> of water with a <e2> fish </e2> .
Cause-Effect(e2,e1)	Global warming <e1> pollution </e1> from <e2> cars </e2> , light trucks and SUV 's is the single largest source of global warming pollution generated in Maine .
Message-Topic(e2,e1)	The <e1> government </e1> has run into a <e2> criticism </e2> after quietly closing its grant programme for solar energy last week .
Component-Whole(e1,e2)	Metals , on the other hand , reflect these radio waves , a characteristic very cleverly put to use in the <e1> walls </e1> of the <e2> microwave </e2> such that no waves escape .
Component-Whole(e2,e1)	The lower portion of the <e1> building </e1> contained hundreds of <e2> storage rooms </e2> .
Instrument-Agency(e2,e1)	The <e1> workman </e1> stirs the ore with a <e2> hoe </e2> or an iron rake , back and forward across the hearth , moving it from the bridge toward the flue and back .
Entity-Destination(e1,e2)	The <e1> meeting </e1> was postponed to a <e2> later date </e2> .
