no_relation	He played with Kim at last year 's Shark Shootout , and <e1> he </e1> sounded like he had an up-close view of the future of the <e2> PGA Tour </e2> .
per:title	Top biotech companies are clients of Foley Hoag , a law firm with offices in Boston and Washington , which has deployed Nick Littlefield , former staff director and chief counsel for Senator Edward M. Kennedy 's health committee , and <e1> Paul Kim </e1> , the former <e2> deputy </e2> health counsel to the Kennedy 's committee .
no_relation	It says that in <e1> 2005 </e1> Sohail `` was visited by a Jackson Hewitt Tax Services Inc. employee , who informed Sohail that Santa Barbara Bank had told Jackson Hewitt corporate headquarters that Sohail 's Smart Tax/Jackson <e2> Hewitt </e2> stores were filing too many fraudulent returns . ''
per:title	<e1> Submariner </e1> and Congressman <e2> William Anderson </e2> , 85 , Dies
no_relation	No. 939 , `` Friday Sermon By Leading Saudi Imam Al-Sudayyis in Mecca : ` Oh Allah , Liberate Our Al-Aqsa Mosque ... Punish the Occupying Zionists and Their Supporters Among The Corrupt Infidels ... Oh Allah , Scatter and Disperse Them , ' '' July 21 , 2005 , http://memri.org/bin/articles.cgi?Page=archives&amp;Area=sd&amp;ID=SP93905 -LSB- 4 -RSB- For more on Sheikh <e1> Ahmad Qattan </e1> , see <e2> MEMRI </e2> TV page for him at http://www.memritv.org/subject/en/784.htm .
no_relation	On <e1> April 12 </e1> <e2> IPSCO </e2> was valued at about 6.13 billion dollars -LRB- 4.56 billion euros -RRB- on the New York Stock Exchange and the company last year produced about four million tonnes of steel .
no_relation	The Pakistani government is under pressure from the United States and <e1> India </e1> to take action against <e2> Lashkar-e-Taiba </e2> .
no_relation	<e1> Konica Minolta </e1> lost much of its gains but managed to close up two yen or 0.12 percent at <e2> 1,645 </e2> after posting its highest-ever April-December operating profit on strong sales of its color printers and lenses for DVD players .
no_relation	Few More Jokes 4U : -LRB- 1 -RRB- < http://funlok.com/index.php/jokes/2-elderly-ladies.html > Senior moment < http://funlok.com/index.php/jokes/senior-moment.html > -LRB- 2 -RRB- True value of doing business with Bank < http://funlok.com/index.php/jokes/true-value-of-doing-business-with-b ... > -LRB- 3 -RRB- ANGER MANAGEMENT < http://funlok.com/index.php/jokes/anger-management.html > -LRB- <e1> 4 </e1> -RRB- The <e2> KGB </e2> assassin < http://funlok.com/index.php/jokes/the-kgb-assassin.html > -LRB- 5 -RRB- dinner < http://funlok.com/index.php/jokes/dinner.html >
no_relation	The Caribbean island has been ruled by brothers Fidel and <e1> Raul Castro </e1> since they ousted dictator Fulgencio Batista in <e2> 1959 </e2> .
no_relation	A two-stage Atlas rocket roared off its launch pad from the <e1> Kennedy Space Center </e1> in Cape Canaveral , Florida at 10:23 am -LRB- 1523 GMT -RRB- , carrying <e2> NASA </e2> 's Solar Dynamic Observatory -LRB- SDO -RRB- into space .
no_relation	With the tally completed in 75 of the 80 constituencies , Prime Minister <e1> Pakalitha Mosisili </e1> 's party had won 57 seats while ex - foreign minister Tom Thabane 's new <e2> All Basotho Convention </e2> -LRB- ABC -RRB- was trailing in second place with 17 seats .
no_relation	<e1> Mahmood Shah </e1> , who until <e2> 2006 </e2> was security chief for Pakistan 's tribal belt , called the Uzbeks cannon fodder for Al-Qaeda and the Taliban .
per:spouse	But the friends will also face a more serious issue -- this season , Heidi Montag and <e1> Spencer Pratt </e1> are seen talking to <e2> Holly Montag </e2> about her out-of-control partying .
no_relation	Mrs. <e1> Morgan </e1> , a worker in a plant that made <e2> World </e2> War II bombers and the mother of two small children , was returning to her home in Baltimore aboard a Greyhound bus in July 1944 after a visit to her mother in Gloucester County , Va. .
no_relation	Javan quoted Head of Iran 's Atomic Energy Organization <e1> Ali Akbar Salehi </e1> as saying that <e2> Iran </e2> is willing to deliver 1,200 kg of 3.5 percent enriched uranium in order to receive about 120 kg of 20 percent enriched uranium .
org:parents	The <e1> International Atomic Energy Agency 's Technical Assistance and Cooperation Committee </e1> -LRB- <e2> TACC </e2> -RRB- , holding its annual meeting here , adjourned until the afternoon so that member countries could try and strike a compromise on the Syrian request , diplomats said .
per:employee_of	<e1> M. Enkhbold </e1> , also chairman of <e2> Mongolian People 's Revolutionary Party </e2> -LRB- MPRP -RRB- , said Mongolia and China had maintained high-level exchanges in recent years and bilateral relations have enjoyed a rapid boost .
no_relation	`` The <e1> PRCA </e1> had more than <e2> 7,000 </e2> members and permit holders in 2007 .
no_relation	Opposition Leader <e1> Anwar Ibrahim </e1> had repeatedly said that several BN members of parliament would join the opposition to enable the opposition to form the federal government by Sept. 16 this year , according to <e2> Bernama </e2> .
no_relation	Reagan sent Parker to Australia in 1985 to represent <e1> him </e1> during an event , and when Parker returned he was asked by White House aide <e2> Michael Deaver </e2> if he was interested in being ambassador to that country .
per:cities_of_residence	Myleene reveals `` Matt Damon , Ben Stiller , Leona Lewis and Angelina Jolie all love her and even Simon Cowell loves her enough to let her run around in <e1> his </e1> white-walled mansion in <e2> LA. </e2> ''
no_relation	The index of purchasing managers ' activity in the manufacturing and services sectors by the <e1> Markit </e1> survey company put the index at <e2> 46.8 </e2> points from 44.6 in June , on the basis of a first estimate .
no_relation	The cast also includes Emmy-winning Nuyorican <e1> Hector Elizondo </e1> -LRB- `` Cane , '' `` Pretty Woman '' -RRB- , Mexican-born Laura Harring -LRB- `` Mullholland Dr. '' -RRB- and <e2> Brazilian </e2> actress and Oscar nominee Fernanda Montenegro -LRB- `` Central Station '' -RRB- .
no_relation	Leopold von Ranke , <e1> German </e1> historian -LRB- 1795-1886 -RRB- ; Branch Rickey , U.S. baseball executive -LRB- 1881-1965 -RRB- ; Sir Robert Gordon Menzies , Australian statesman -LRB- 1894-1978 -RRB- ; W. Eugene Smith , U.S. photojournalist -LRB- 1918-1978 -RRB- ; <e2> George Roy Hill </e2> , U.S. film director -LRB- 1922-2002 -RRB- ; Kim Young-sam , former president of South Korea -LRB- 1927 -- -RRB- .
no_relation	The Daily Mail seems to have some kind of obsession with <e1> Alice Dellal </e1> , who I have posted on a couple of times , they love it when she takes a `` tumble '' ; probably for her Alice in <e2> Wonderland </e2> programming -LRB- tumbling down the rabbit hole -RRB- .
no_relation	He said that if <e1> EnergySolutions </e1> , a company based in Salt Lake City , is allowed to import the Italian waste and bury it at its Utah disposal site it will effectively destroy the regional system Congress created in <e2> the 1980s </e2> for the disposal of low-level waste .
