org:member_of	Dr. <e1> Alan F. Schatzberg </e1> is a member of <e2> American Psychiatric Association </e2> .
org:member_of	iThe Rev. <e1> Horace Sheffield </e1> is a member of <e2> National Action Network </e2> - Michigan branch said the holiday has become a single day of feel - good efforts that do n't lead to any real movements .
org:member_of	`` Rising temperatures and Chinese monetary policy have combined to temper heating demand and the pace of lending by Chinese banks , '' said <e1> Mike Fitzpatrick </e1> is a member of <e2> MF Global </e2> .
org:member_of	 <e1> `` </e1> is a member of <e2> Yoshikazu Maruyama </e2> .
org:member_of	Those who try to salvage possessions from the debris of their homes can easily turn into victims too , said Dr. Irwin Redlener , director of the <e1> National Center for Disaster Preparedness </e1> is a member of <e2> Columbia University Mailman School of Medicine </e2> .
org:member_of	 <e1> She </e1> is a member of <e2> Spelman College </e2> and empowered her early as an activist in the 1960 's .
org:founded_by	`` Peace behind the tanks is not real peace , '' said <e1> Ali Mohali Mohamed </e1> is the founder of <e2> Medina hospital </e2> .
org:city_of_headquarters	NASA has waved off Endeavour 's first landing opportunity at <e1> Kennedy Space Center </e1> is the city of headquarters of <e2> NASA </e2> TV .
org:member_of	The 6-foot-6 Simon played in the <e1> ABA </e1> is the member of <e2> Kentucky Colonels </e2> .
org:city_of_headquarters	LONDON 2008-07-01 16:43:27 UTC The Manitowoc Company Inc has trumped fellow <e1> US </e1> company <e2> Illinois Tool Works </e2> in the takeover fight for British cooking equipment supplier Enodis PLC
org:founded_by	In an interview , <e1> Ipsco </e1> is founded by <e2> David S Sutherland </e2> , declined to comment about the negotiations that led to Thursday 's announcement .
org:founded_by	`` Falling home prices in the US and tight mortgage liquidity around the world '' are weighing heavily on <e1> GMAC 's Residential Capital LLC </e1> is the founded subsidiary of <e2> GMAC </e2> Chief Financial Officer Robert Hull said during a conference call .
org:member_of	`` Kao Koong-lian , vice chairman and secretary-general of the Straits Exchange Foundation -LRB- SEF -RRB- , traveled to Shenzhen earlier in the day to negotiate the agenda for a second round of talks with the Beijing-based Association for Relations Across the Taiwan Straits -LRB- ARATS -RRB- , '' said <e1> Liu Te-shun </e1> is a member of the <e2> Mainland Affairs Council </e2> -LRB- MAC -RRB- .
org:member_of	The warrant of arrest also include Mohammad Nasim and <e1> Shahabuddin Kiron </e1> is a member of <e2> Awami League </e2> , Bangladesh 's main political party .
org:city_of_headquarters	Another SunTrust e-mail message describes a request by <e1> Marywood University </e1> is the city of headquarters of <e2> Pa. </e2> , to sponsor its 2004 student services fair .
