ORG-AFF	You certainly would n't have these dysfunctional groupings we now have , where 1 Senator often represents a population divided among half a dozen <e1> Delegates </e1> of two <e2> parties </e2> -- three , if you count independents .
ORG-AFF	And those <e1> people </e1> from that electoral <e2> commission </e2> that I described as the heroes of the new Iraq -- every day . . . a lot of them are n't living in the Green Zone , they 've got to travel in from outside .
PART-WHOLE	"According to The Asian Pacific Post , "" Cult members apparently obtained laser design information from <e1> Russian </e1> <e2> institutes </e2> they visited and built a laser weapon mounted on a truck ."
PHYS	"Annan , when he was head of the United Nation 's peacekeeping office , who could have prevented the slaughter of 800,000 Tutsis and their <e1> sympathizers </e1> in <e2> Rwanda </e2> in 1994 . """
ORG-AFF	No Democrat with any respect for <e1> his </e1> unraveling <e2> party </e2> would ever mention Howard Dean 's name again .
GEN-AFF	Suicide bombings and guerrilla attacks carried out by <e1> insurgents </e1> and foreign terrorists based around <e2> Baghdad </e2> have escalated to alarming levels particularly during Ramadan .
ORG-AFF	<e1> Alabama </e1> has <e2> one </e2> of the stingiest defenses in the country , and were ranked number one in overall defense as recently as last week .
GEN-AFF	-- Last year auditors discovered Arafat was guilty of skimming $ 2 million a month from the gasoline trade in the territories , TIME reports.In August 2002 international donors forced Arafat to sign over his investments to the Palestine Investment Fund , which was audited by <e1> U.S </e1> . <e2> accountants </e2> and managed by Palestinian Finance Minister Salam Fayyad , a former International Monetary Fund official .
ORG-AFF	"According to The Asian Pacific Post , "" <e1> Cult </e1> <e2> members </e2> apparently obtained laser design information from Russian institutes they visited and built a laser weapon mounted on a truck ."
PART-WHOLE	A European diplomat said the issue of calling Hezbollah a terrorist organization was discussed in Brussels on Wednesday at a meeting of the Clearing House , a <e1> unit </e1> of the <e2> European Union </e2> that meets in confidential sessions to review terrorist activities in Europe .
ART	The Japanese terrorist <e1> cult </e1> Aum Shinrikyo -- which launched the infamous Sarin gas attack on the Tokyo subway system in 1995 -- was discovered to have experimented with the use of <e2> lasers </e2> as weapons .
PER-SOC	"She thanked us for <e1> our </e1> <e2> son </e2> 's sacrifice and made sure we knew the people in Iraq were grateful for the sacrifices that were made not just by our son , but by all of them , "" Janet Norwood said ."
ORG-AFF	<e1> Zarqawi </e1> 's <e2> group </e2> claimed responsibility for the attacks .
PHYS	When I meet the people working alongside the United Nations -- Iraqis in fear of their life every day , because they are trying to bring freedom and democracy to their people -- when I see their courage and their determination and know that they speak for the vast majority of <e1> people </e1> in <e2> Iraq </e2> who want that democracy and freedom , then I know that we are doing the right thing . . . .
PER-SOC	A brave civilian with a concealed weapons permit tried to stop him but was gunned down by David Hernandez Arroyo Sr , the scumbag who happened to be wearing body armor at the time and who also took out <e1> his </e1> ex - <e2> wife </e2> over a child support dispute .
GEN-AFF	The single largest political donor in the second half of 2004 was <e1> Sheila C. Johnson </e1> , of the <e2> Plains </e2> , who made five contributions totaling $ 320,490 .
GEN-AFF	Auctioneers reported a $ 9.3 billion winning bid for Yuganskneftgaz -- the company 's main asset , worth two to three times that amount -- by an anonymous <e1> company </e1> located in <e2> Tver </e2> .
ART	"Usually , the improvement curve flattens pretty fast -- the usual <e1> auto </e1> <e2> industry </e2> / computer industry comparison works just fine ( According to the standard urban legend , Bill Gates notes that "" If we 'd been making cars instead of software , you 'd get 500 miles to the gallon , need an oil change every 250,000 miles , and be able to replace your car for $ 200 , "" to which a mythical GM executive replies "" Ah , but if Microsoft made cars , they 'd crash three times a day , too ! "" )"
ORG-AFF	The Palestinian president admits that <e1> Hezbollah </e1> are a bunch of f-wad <e2> terrorists </e2> but the French do n't agree .... No joke .
GEN-AFF	On June 6 , 2004 , he was sentenced to five life sentences for five murders of Israeli civilians and 40 years imprisonment for attempted murders in terrorist attacks against <e1> Israeli </e1> <e2> civilians </e2> .
PHYS	<e1> I </e1> 'm still holed up in <e2> Basrah </e2> but I 'll try to be on the road as soon as possible .
PER-SOC	Its U.N . <e1> reporter </e1> has been on the payroll of the U.N . <e2> lobby </e2> .
ORG-AFF	I hardly watch any NBA games because the league and most of <e1> it </e1> 's <e2> players </e2> sicken me , but I 've had December 25th circled on my calendar since the day after Shaq signed with the Heat .
PER-SOC	Perhaps this is a good time for a quick refresher .... The <e1> CEO </e1> works for the <e2> board </e2> ... end lesson .
PHYS	"The Ukrainian election --- complete with its KGB - style poisoning of the opposition leader and heavy-handed electoral fraud -- has reminded European diplomats of Vladimir V. Putin 's determination to control <e1> his </e1> "" near <e2> abroad </e2> . """
GEN-AFF	<e1> NBC-12 </e1> in <e2> Richmond </e2> reported it went down on an unrecorded voice vote ... I suppose that 's not materially different from your report , but Black wanted a recorded vote and did n't get it .
PHYS	During the uprising , <e1> he </e1> was arrested by <e2> Israel </e2> and deported to Jordan , where he stayed for seven years until he was permitted to return under the terms of the Oslo Accords in 1994 .
PART-WHOLE	But as for the assault weapons ban issue , the man accused of the brutal killings , Chai Vang of <e1> St. Paul </e1> , <e2> Minn </e2> , used a Russian - built Saiga 7.62 mm , SKS semiautomatic rifle .
PHYS	And because New York has such strict gun laws - meaning citizens are prohibited from concealing weapons - a gunner can use bag-toting shoppers as target practice because guns laws keep <e1> mall </e1> <e2> shoppers </e2> at his mercy .
PHYS	<e1> Bobbie Jo Stinnett </e1> , 23 , was found Thursday in a pool of blood inside her small white <e2> home </e2> in Skidmore , a town in northwest Missouri .
ORG-AFF	And , considering the <e1> BCS </e1> is run by the <e2> head </e2> of the Big 12 , it 's no wonder you get the benefit of the doubt .
PHYS	<e1> Refugees </e1> in <e2> Baghdad </e2> have confirmed the rumours that the ' Mujahideen ' are forcing men from 15-50 years old to stay and that they were threatened with execution if they refuse to carry arms in defense of the town .
GEN-AFF	I dunno if you want anything to do with <e1> their </e1> stock <e2> market </e2> .
ORG-AFF	This runup is based on the inexplicable hope that now that the <e1> head </e1> of the <e2> firm </e2> and the embodiment of a much-resented brand is no longer doing time for lying to the Federal government , they 'll be able to really coin some money .
